date,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
20-Jul,81,39,160,100,162,79,49,21,0,74,64,60,179,11,177,NA,108,63,65,64,28,16,199,172,17,213,120,10,34,87,121,NA
21-Jul,26,55,187,113,96,83,48,11,40,37,75,52,39,13,74,69,47,184,202,95,66,78,81,84,31,232,19,42,60,49,67,NA
22-Jul,48,34,67,136,30,147,69,67,48,40,17,82,60,25,42,46,31,227,27,143,53,86,55,50,41,113,123,28,90,134,169,NA
23-Jul,68,33,58,159,96,64,45,45,41,43,96,69,32,39,59,91,34,96,13,34,44,48,25,15,88,74,57,100,86,26,81,1
24-Jul,85,32,89,43,97,44,73,41,33,99,116,45,49,26,112,47,23,65,267,61,54,39,50,6,14,247,103,86,3,104,129,11
25-Jul,50,31,79,62,101,NA,58,37,13,0,44,46,11,46,44,41,14,34,332,56,30,21,85,70,48,51,38,83,91,144,54,0
26-Jul,43,31,96,54,115,NA,47,14,45,0,17,54,31,43,28,17,50,34,12,10,37,51,14,48,27,63,89,125,90,76,79,15
27-Jul,23,19,38,59,20,NA,35,3,37,0,8,50,5,56,NA,45,50,15,49,25,88,6,4,14,16,73,105,55,25,74,58,0
28-Jul,23,36,16,59,40,NA,22,17,3,0,8,33,7,256,30,42,NA,24,80,71,105,24,53,55,26,52,140,89,47,96,11,19
29-Jul,39,16,NA,39,60,NA,26,17,10,0,31,30,23,43,16,NA,NA,24,90,27,66,19,28,37,35,91,7,60,12,117,66,3
30-Jul,18,13,NA,19,57,NA,45,21,4,0,22,48,1,21,21,NA,NA,13,5,19,27,8,6,28,2,22,176,82,0,NA,23,11
31-Jul,34,29,NA,8,18,NA,NA,NA,NA,0,15,17,21,21,16,NA,NA,50,105,83,100,29,23,20,19,133,32,77,1,NA,17,6
1-Aug,33,17,NA,NA,NA,NA,NA,NA,NA,NA,20,16,5,19,6,NA,12,27,7,8,39,0,6,46,42,67,17,50,0,NA,31,14
2-Aug,46,5,NA,NA,NA,NA,NA,NA,NA,NA,5,10,0,5,31,NA,6,118,169,19,6,13,16,31,19,42,99,47,2,NA,19,7
3-Aug,28,18,NA,NA,NA,NA,NA,NA,NA,NA,14,1,0,23,11,NA,10,40,92,7,6,5,9,34,13,55,96,8,1,NA,15,2
4-Aug,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,5,17,13,3,NA,NA,12,NA,12,37,6,4,20,18,34,14,16,1,2,13,5
5-Aug,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,6,3,10,NA,11,10,NA,10,78,6,8,39,10,9,22,30,4,2,20,13
6-Aug,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,20,3,12,NA,1,19,NA,17,25,2,26,29,9,6,9,19,18,0,17,9
7-Aug,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,24,4,8,NA,8,28,NA,3,23,5,0,18,0,21,15,14,11,0,5,10
8-Aug,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,12,7,7,1,1,NA,9,14,2,23,9,26,12,12,13,1,1,3,4
9-Aug,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4,5,16,2,0,20,NA,10,15,2,3,3,41,8,5,9,9,0,29,27
10-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,NA,6,5,10,14,NA,8,7,0,3,10,5,7,5,10,3,2,30,1
11-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,6,6,5,7,NA,2,1,5,0,15,2,28,9,6,2,4,12,8
12-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,7,NA,3,4,1,4,NA,4,21,4,1,6,8,14,5,4,3,0,6,3
13-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,13,2,3,0,NA,2,4,5,13,29,2,14,5,7,5,1,0,12
14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6,NA,5,1,5,8,2,2,11,2,NA,7,14,19,4,5,2,NA,10,8
15-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,NA,1,3,4,7,3,0,21,1,NA,7,24,4,2,1,2,NA,2,7
16-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,1,5,15,1,2,4,6,7,2,6,6,7,0,3,NA,4,4
17-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,7,NA,4,2,1,11,9,3,4,0,4,6,14,2,7,3,1,NA,2,0
18-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6,NA,6,1,2,6,1,1,0,6,1,7,8,3,3,2,1,NA,2,2
19-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,3,1,0,2,5,3,0,2,2,4,3,0,3,1,4,NA,0,5
20-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,1,NA,3,4,0,0,7,4,2,3,2,1,1,NA,0,4
21-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,3,3,3,3,3,3,0,7,4,3,0,1,1,3,2,NA,3,4
22-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,0,2,3,3,4,0,5,1,1,0,1,2,4,1,NA,0,3
23-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,0,2,1,1,0,0,1,5,13,4,3,1,1,NA,0,3
24-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,1,2,2,0,1,1,5,2,1,1,2,3,NA,3,0
25-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,4,0,0,2,0,1,1,2,2,2,2,2,NA,4,1
26-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,2,4,1,4,0,0,5,0,0,0,4,0,1,5,2
27-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,5,2,2,0,1,0,0,5,2,0,1,0,0,4,6
28-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,3,4,NA,1,2,0,0,3,1,1,1,0,0,3,1
29-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,1,1,0,1,5,1,2,0,3,0,1,2
30-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,NA,0,1,1,1,0,1,0,1,2,0,1,1
31-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,0,1,0,3,0,1,0,0,0,0,0,0
1-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA,1,0,0,2,0,0,4,0,1,1,0,0
2-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,1,0,0,1,0,2,1,1,0,0,2,0
3-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,0,0,1,0,0,1,0,0,0,0,0
4-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,1,0,1,2,1,0,0,1,1,0,0,NA
5-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,2,0,0,1,0,2,0,1,0,0,0,NA
6-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,0,0,1,1,1,0,0,0,0,0,0,NA
